,neighborhood_name,district_name,sq_mt_price,center_distance,bearing_sin,bearing_cos,latitude,longitude
Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,San Cristóbal,Villaverde,1308.89,8.383018128565531,0.10266567668546742,-0.9947159186575407,40.3416121,-3.6934141
Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,Los Ángeles,Villaverde,1796.68,6.7245001856268285,0.04962603973171879,-0.9987678690168932,40.3562217,-3.6996388
Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,San Andrés,Villaverde,1617.18,7.92724909671289,-0.07886747203556287,-0.9968851096564336,40.3455389,-3.7109697
Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,Los Rosales,Villaverde,1827.79,6.71619861975953,0.1780958815492608,-0.9840131386191913,40.3571948,-3.6894484
Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,Butarque,Villaverde,2197.8,8.686694015815545,0.2813091199869371,-0.9596172044165189,40.3416545,-3.674719
Neighborhood 127: Valdebernardo - Valderribas (2750.0 €/m2) - District 19: Vicálvaro,Valdebernardo,Vicálvaro,2750.0,7.210827876433728,0.9658518672946936,-0.25909490624740855,40.3999118,-3.621522
Neighborhood 124: Ambroz (2094.51 €/m2) - District 19: Vicálvaro,Ambroz,Vicálvaro,2094.51,8.765140800847654,0.9997189036257305,-0.023708937837181955,40.4147946,-3.60034
Neighborhood 125: Casco Histórico de Vicálvaro (2064.65 €/m2) - District 19: Vicálvaro,Casco Histórico Vicálvaro,Vicálvaro,2064.65,8.364183980735694,0.9814938946559969,-0.1914934326628535,40.4022944,-3.6068631
Neighborhood 126: El Cañaveral - Los Berrocales (2271.52 €/m2) - District 19: Vicálvaro,El Cañaveral,Vicálvaro,2271.52,12.702984258834295,0.9923330482812938,-0.12359256162389151,40.4025252,-3.5550809
Neighborhood 128: Casco Histórico de Vallecas (1956.0 €/m2) - District 20: Villa de Vallecas,Casco Histórico Vallecas,Villa de Vallecas,1956.0,7.336361005015582,0.48418200803271066,-0.8749673040162199,40.3589425,-3.6616407
Neighborhood 129: Ensanche de Vallecas - La Gavia (2677.28 €/m2) - District 20: Villa de Vallecas,Ensanche Vallecas,Villa de Vallecas,2677.28,11.444091141489075,0.832904091333683,-0.5534173602622272,40.3597689,-3.5912355
Neighborhood 130: Santa Eugenia (2175.93 €/m2) - District 20: Villa de Vallecas,Santa Eugenia,Villa de Vallecas,2175.93,8.650142266435315,0.900649461437532,-0.43454636992188034,40.3829244,-3.6117674
Neighborhood 119: Orcasitas (1931.95 €/m2) - District 18: Usera,Orcasitas,Usera,1931.95,5.308422108404082,-0.10027473807705825,-0.9949597865761095,40.3691419,-3.7098741
Neighborhood 121: San Fermín (1912.8 €/m2) - District 18: Usera,San Fermín,Usera,1912.8,5.189989324238375,0.2185745543793934,-0.9758202519818133,40.3711037,-3.6901759
Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,Moscardó,Usera,2284.48,3.077249515538305,-0.0601727611929589,-0.9981879776927867,40.3890429,-3.7057718
Neighborhood 120: Pradolongo (2068.64 €/m2) - District 18: Usera,Pradolongo,Usera,2068.64,4.462338820437905,-0.07954337814172621,-0.9968314055013527,40.376647,-3.7077784
Neighborhood 122: Zofío (1941.38 €/m2) - District 18: Usera,Zofío,Usera,1941.38,4.280490858318326,-0.2312998882245238,-0.9728825014909677,40.379209,-3.7152846
Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,Almendrales,Usera,2205.31,3.6082534779753765,0.10055364947082898,-0.9949316376405455,40.3843762,-3.6992931
Neighborhood 123: 12 de Octubre-Orcasur (1637.13 €/m2) - District 18: Usera,12 Octubre,Usera,1637.13,2.316256516512025,0.9984401483113747,-0.05583251955590102,40.4155414,-3.6763342
Neighborhood 115: Valdeacederas (3163.8 €/m2) - District 17: Tetuán,Valdeacederas,Tetuán,3163.8,5.686102535042807,0.0023756296247703997,0.9999971781879616,40.4679108,-3.7034226
Neighborhood 114: Cuzco-Castillejos (4347.59 €/m2) - District 17: Tetuán,Cuzco,Tetuán,4347.59,4.887810988203142,0.2345453325170399,0.9721051830920722,40.4594841,-3.6900166
Neighborhood 113: Cuatro Caminos (4247.49 €/m2) - District 17: Tetuán,Cuatro Caminos,Tetuán,4247.49,3.339940135100474,-0.009660021545776876,0.9999533409033319,40.4467812,-3.7039643
